Date,is_anomaly,anomaly_score
2020-01-31,False,0.0657119933189822
2020-02-03,False,0.17877789473405664
2020-02-04,False,0.12449445061271919
2020-02-05,False,0.1694942805862194
2020-02-06,False,0.1684708886301683
2020-02-07,False,0.14970574412701537
2020-02-10,False,0.1777770590557049
2020-02-11,False,0.180614973964198
2020-02-12,False,0.14232214331719983
2020-02-13,False,0.17359012829200965
2020-02-14,False,0.18530417986171044
2020-02-18,False,0.09988606983753678
2020-02-19,False,0.15908406845571288
2020-02-20,False,0.17077603935886204
2020-02-21,False,0.13690292436035134
2020-02-24,True,-0.005495685771242598
2020-02-25,False,0.03817171720482304
2020-02-26,False,0.08834350325803575
2020-02-27,True,-0.10947631810500336
2020-02-28,True,-0.03560111053650461
2020-03-02,True,-0.05942435649497624
2020-03-03,False,0.01870190947320749
2020-03-04,True,-0.02614990313469412
2020-03-05,True,-0.01973792998167212
2020-03-06,False,0.008898431203546386
2020-03-09,True,-0.1207170960142262
2020-03-10,True,-0.07882704589256573
2020-03-11,True,-0.05678506428883501
2020-03-12,True,-0.18256220154575586
2020-03-13,True,-0.14507350595950996
2020-03-16,True,-0.20264574815517622
2020-03-17,True,-0.1731797008867747
2020-03-18,True,-0.16941285370354542
2020-03-19,True,-0.14742040406966417
2020-03-20,True,-0.2050397273171619
2020-03-23,True,-0.16172001435167527
2020-03-24,True,-0.18811596410740938
2020-03-25,True,-0.1220193413489078
2020-03-26,True,-0.11515521826111863
2020-03-27,True,-0.13314300521950895
2020-03-30,True,-0.09169957892885572
2020-03-31,True,-0.04021087781798971
2020-04-01,True,-0.09380395985628864
2020-04-02,True,-0.04628937034089742
2020-04-03,True,-0.047102288473684806
2020-04-06,True,-0.1388767557257784
2020-04-07,False,0.003806459577743615
2020-04-08,True,-0.03997705764202808
2020-04-09,True,-0.0023249090283949947
2020-04-13,True,-0.03355887733889418
2020-04-14,True,-0.06603525785710851
2020-04-15,True,-0.01775818027419085
2020-04-16,True,-0.007284168997792939
2020-04-17,True,-0.01346727714830842
2020-04-20,True,-0.0018274116216452363
2020-04-21,False,0.036437026731347744
2020-04-22,False,0.0589616409660233
2020-04-23,False,0.10920626772711167
2020-04-24,False,0.09940938081497624
2020-04-27,False,0.13717343776656482
2020-04-28,False,0.10561605730256418
2020-04-29,False,0.07950237602041837
2020-04-30,False,0.09093601745295105
2020-05-01,False,0.12234689741759347
2020-05-04,False,0.12527966332707408
2020-05-05,False,0.12263762383601634
2020-05-06,False,0.16390252294114005
2020-05-07,False,0.15159518346179135
2020-05-08,False,0.11219270034954831
2020-05-11,False,0.1142692531993153
2020-05-12,False,0.1141031017764122
2020-05-13,False,0.15725170336272226
2020-05-14,False,0.17984673837065773
2020-05-15,False,0.17309737793483665
2020-05-18,False,0.14347886534468085
2020-05-19,False,0.17747004468446304
2020-05-20,False,0.16420406285587635
2020-05-21,False,0.18256674007347018
2020-05-22,False,0.185181917208329
2020-05-26,False,0.15773013943057562
2020-05-27,False,0.194013988948467
2020-05-28,False,0.1839347798490874
2020-05-29,False,0.18275590723120128
2020-06-01,False,0.14603500638542943
2020-06-02,False,0.18130871143045785
2020-06-03,False,0.17531548696839588
2020-06-04,False,0.15866030240903423
2020-06-05,False,0.11581185640683395
2020-06-08,False,0.17607249746898662
2020-06-09,False,0.08721752958540258
2020-06-10,False,0.0899274526664754
2020-06-11,False,0.057965515292979886
2020-06-12,False,0.16848435570732656
2020-06-15,False,0.15679954356079967
2020-06-16,False,0.12295953126202286
2020-06-17,False,0.15110642133895746
2020-06-18,False,0.15442097592362675
2020-06-19,False,0.05156033151056838
2020-06-22,False,0.10798170550195602
2020-06-23,False,0.1184847686166502
2020-06-24,False,0.15340542264507168
2020-06-25,False,0.15072907513261052
2020-06-26,False,0.09756971334705405
2020-06-29,False,0.13718755128909504
2020-06-30,False,0.17216440716573966
2020-07-01,False,0.17694981443764923
2020-07-02,False,0.1754012898745156
2020-07-06,False,0.136869215071992
2020-07-07,False,0.17609678261427547
2020-07-08,False,0.1522559816239908
2020-07-09,False,0.17102800826723868
2020-07-10,False,0.17515108025649978
2020-07-13,False,0.09467892465136984
2020-07-14,False,0.1660583253252001
2020-07-15,False,0.18590125661072165
2020-07-16,False,0.1638582151281025
2020-07-17,False,0.18543588909614128
2020-07-20,False,0.1613004917502711
2020-07-21,False,0.17110077376340255
2020-07-22,False,0.1908488476512365
2020-07-23,False,0.01559537228601604
2020-07-24,False,0.17575288884914808
2020-07-27,False,0.12711478075109806
2020-07-28,False,0.15335363235582666
2020-07-29,False,0.15169760828992163
2020-07-30,False,0.11565648262519262
2020-07-31,True,-0.13111310828680345
2020-08-03,True,-0.0030915730709859535
2020-08-04,True,-0.022189947865579485
2020-08-05,True,-0.005502310477938144
2020-08-06,True,-0.06985779489597654
2020-08-07,True,-0.004137760741693253
2020-08-10,False,0.026351202295912923
2020-08-11,False,0.003457439847857513
2020-08-12,True,-0.003784468047394407
2020-08-13,False,0.009289723477887146
2020-08-14,False,0.12802383129978867
2020-08-17,False,0.13210622143403694
2020-08-18,False,0.13048318190103197
2020-08-19,False,0.11814436849942006
2020-08-20,False,0.13941563245738353
